system:index,bedrock,clay,dem,erosion,hand,latitude,longitude,precip,sand,slope,soc,spatial_fold,suit_score,twi,typhoon,.geo
51,0.0,26.0,111.0,38.031639099121094,111.0,18.63496584339523,110.07260371793546,2390.0078125,49.0,3.9434585571289062,4.0,1.0,0.6301453998537184,12.380233764648438,45.0,"{""type"":""Point"",""coordinates"":[110.07091894807003,18.63635036364237]}"
52,0.0,25.0,97.0,22.5726375579834,89.0,19.308702306484875,110.3241319974889,2747.296142578125,46.0,1.0473518371582031,4.0,3.0,0.7067805203105075,13.715991973876953,36.0,"{""type"":""Point"",""coordinates"":[110.32270753254062,19.308263788781204]}"
53,0.0,35.0,80.0,10.49379825592041,81.0,19.515314821832362,110.66100022903373,2346.40771484375,38.0,0.43123024702072144,3.0,3.0,0.7045296848280068,14.164512634277344,36.0,"{""type"":""Point"",""coordinates"":[110.65950058455576,19.514978727543827]}"
54,0.0,24.0,206.0,14.432360649108887,140.0,19.4389580226822,109.52463139462253,2343.00732421875,54.0,0.8301437497138977,4.0,3.0,0.6876447504172312,13.880324363708496,33.0,"{""type"":""Point"",""coordinates"":[109.52334891988869,19.43788018061711]}"
55,0.0,30.0,318.0,56.05476379394531,296.0,18.82361205306033,110.13997736424443,2400.6650390625,46.0,8.48511791229248,4.0,2.0,0.5850285960967149,11.473373413085938,49.0,"{""type"":""Point"",""coordinates"":[110.13805531600711,18.824980764210668]}"
56,0.0,29.0,16.0,9.297667503356934,16.0,19.730910490021046,110.73735702818391,2240.012451171875,46.0,0.4265555739402771,5.0,3.0,0.7536715131984261,13.729301452636719,41.0,"{""type"":""Point"",""coordinates"":[110.7377680963385,19.728825744608148]}"
57,0.0,24.0,503.0,33.3094367980957,456.0,18.6888647604424,108.9811506477302,1721.463623046875,50.0,10.090113639831543,5.0,1.0,0.5468484659849907,11.158941268920898,46.0,"{""type"":""Point"",""coordinates"":[108.98301188424502,18.688897569685818]}"
58,0.0,27.0,198.0,22.977466583251953,112.0,19.452432751943995,109.753701792073,2547.8251953125,52.0,1.5977809429168701,3.0,3.0,0.6829132701486684,13.230525016784668,36.0,"{""type"":""Point"",""coordinates"":[109.75162039860568,19.45340035687753]}"
59,0.0,28.0,71.0,13.487797737121582,69.0,19.68599472581507,110.62955919408955,2327.197021484375,48.0,0.879525899887085,5.0,3.0,0.7169419703490731,13.460111618041992,36.0,"{""type"":""Point"",""coordinates"":[110.62876227570482,19.68415704806834]}"
60,0.0,26.0,238.0,58.807861328125,122.0,19.286244424381884,109.68183656934343,2483.43603515625,52.0,7.812528133392334,4.0,3.0,0.6450139868691618,11.611369132995605,38.0,"{""type"":""Point"",""coordinates"":[109.68172799646972,19.284879254462037]}"
62,0.0,22.0,158.0,16.073585510253906,100.0,19.49734851614997,109.798617556279,2547.8251953125,56.0,0.7281580567359924,4.0,3.0,0.6942490036856183,14.041996955871582,35.0,"{""type"":""Point"",""coordinates"":[109.79720372456576,19.498947118698013]}"
63,0.0,25.0,183.0,17.608190536499023,80.0,19.286244424381884,109.71776918070822,2481.336181640625,54.0,1.039331316947937,4.0,3.0,0.6963810742268466,13.670318603515625,38.0,"{""type"":""Point"",""coordinates"":[109.71675343061881,19.284575932599108]}"
65,0.0,25.0,175.0,14.831561088562012,135.0,19.115564520399175,109.08894848182456,1947.67578125,51.0,1.594566822052002,4.0,2.0,0.6365123146548282,13.247231483459473,39.0,"{""type"":""Point"",""coordinates"":[109.09103788783719,19.11651155445931]}"
66,0.0,31.0,757.0,50.005001068115234,757.0,18.60352480845105,110.1175194821414,2249.768798828125,44.0,12.3616361618042,6.0,1.0,0.5552028045693501,10.723270416259766,46.0,"{""type"":""Point"",""coordinates"":[110.1184404359314,18.60551126364394]}"
67,0.0,27.0,2.0,8.7974271774292,3.0,20.018371380939293,110.44989613726563,2064.39794921875,41.0,0.5025940537452698,3.0,4.0,0.7565816898725131,13.562321662902832,41.0,"{""type"":""Point"",""coordinates"":[110.4488704441638,20.01767514997959]}"
68,0.0,23.0,34.0,9.867446899414062,34.0,19.83421674769479,110.71489914608088,2086.7646484375,56.0,0.8235541582107544,4.0,4.0,0.7168086279808009,13.020301818847656,42.0,"{""type"":""Point"",""coordinates"":[110.716713912992,19.836217419374517]}"
69,0.0,32.0,83.0,14.500275611877441,55.0,18.6888647604424,109.78963440343779,2317.682373046875,39.0,0.8416323661804199,4.0,1.0,0.6769639570678718,13.943132400512695,48.0,"{""type"":""Point"",""coordinates"":[109.7911429446481,18.689638289640534]}"
70,0.0,26.0,51.0,10.729620933532715,51.0,19.901590394003755,110.3196404210683,2257.222900390625,46.0,0.4880128800868988,4.0,4.0,0.725807152371344,14.06762409210205,38.0,"{""type"":""Point"",""coordinates"":[110.31760082128389,19.901247824682613]}"
71,0.0,29.0,548.0,48.650508880615234,499.0,18.76971313601316,109.65488711081986,2190.593994140625,41.0,9.732526779174805,7.0,1.0,0.5719846321779307,11.159059524536133,46.0,"{""type"":""Point"",""coordinates"":[109.65642810140014,18.77147511696803]}"
72,0.0,25.0,26.0,11.03296184539795,29.0,18.84606993516332,110.3690477616949,2188.559326171875,51.0,0.5462853312492371,2.0,2.0,0.7058635271965145,14.408957481384277,47.0,"{""type"":""Point"",""coordinates"":[110.36863461912026,18.84401288074261]}"
73,0.0,24.0,14.0,5.497906684875488,15.0,19.94650615820973,110.83168013301645,1836.2030029296875,49.0,0.11471964418888092,3.0,4.0,0.6945569019676466,14.61414909362793,49.0,"{""type"":""Point"",""coordinates"":[110.83175170933038,19.94717795601446]}"
74,0.0,25.0,326.0,27.091848373413086,143.0,18.95835934567826,109.78514282701718,2371.47412109375,46.0,2.4619438648223877,3.0,2.0,0.6299670259707841,12.711874008178711,43.0,"{""type"":""Point"",""coordinates"":[109.78498194034252,18.957600145282452]}"
75,0.0,28.0,222.0,82.42887878417969,222.0,18.585558502768656,110.09955317645904,2255.696044921875,51.0,18.279897689819336,4.0,1.0,0.5697380403058572,10.743273735046387,45.0,"{""type"":""Point"",""coordinates"":[110.09743677475826,18.584758729264518]}"
76,0.0,33.0,115.0,14.684020042419434,88.0,19.4389580226822,110.35557303243309,2661.8779296875,38.0,0.48997512459754944,5.0,3.0,0.7106505260341045,14.444443702697754,36.0,"{""type"":""Point"",""coordinates"":[110.3537979340526,19.437788099908115]}"
77,0.0,26.0,36.0,16.316967010498047,39.0,18.35199652889758,109.63242922871689,2123.577880859375,47.0,1.3518540859222412,3.0,0.0,0.7054791700566199,13.49690055847168,43.0,"{""type"":""Point"",""coordinates"":[109.63378868240196,18.350543159399944]}"
78,0.0,26.0,249.0,93.03578186035156,236.0,18.706831066124792,109.94234800173814,2452.71533203125,49.0,16.676387786865234,4.0,1.0,0.5729463622034605,10.823226928710938,47.0,"{""type"":""Point"",""coordinates"":[109.94014628008715,18.705045934949197]}"
